MES,COORDINADORA,count,util_positive,util_negative,no_contact,acw,aht,llave,tiempo_acw,tiempo_aht,tasa_contacto,count_promises,ticket,ticket_medio
6.0,YH,413.0,36.0,117.0,501.0,38039.0,90352.0,YH6,10:33,01:05,9.0,-,-,-
7.0,YH,990.0,48.0,125.0,1069.0,87725.0,185901.0,YH7,00:22,03:38,5.0,-,-,-
8.0,YH,1252.0,134.0,338.0,1350.0,188659.0,405545.0,YH8,04:24,16:39,11.0,185.0,"$125,424,310.00","$520,432.82"
9.0,YH,1496.0,203.0,389.0,1559.0,131680.0,383427.0,YH9,12:34,10:30,14.0,372.0,"$297,195,453.00","$597,978.78"
10.0,YH,3267.0,338.0,867.0,5229.0,165182.0,729985.0,YH10,21:53,10:46,10.0,367.0,"$277,586,137.00","$487,849.10"
11.0,YH,3465.0,176.0,737.0,4526.0,80770.0,482563.0,YH11,22:26,14:02,5.0,144.0,"$72,720,193.00","$425,264.29"
-,Suma,10883.0,935.0,2573.0,14234.0,692055.0,2277773.0,-,-,-,54.0,-,-,-
-,Promedio,1813.83,155.83,428.83,2372.33,115342.5,379628.83,-,416:00,1370:53,9.0,-,-,-
51.0,Suma,23579.83,2025.83,5574.83,30840.33,1499452.5,4935174.83,-,-,-,117.0,1068.0,-,-
8.5,Promedio,2947.48,253.23,696.85,3855.04,187431.56,616896.85,-,-,-,14.62,267.0,-,-
