NAME,Almuerzo,Avail,BackOffice,Baño,Break,start_logueo,end_logueo,horas_logueo,aux_imporductivo,occupancy,objetive_gestion,objetive_contact,objetive_promises
Darroyo,0,650,0,5,14,7:26,17:2,10.83,19,97.0,227.0,76.0,32.0
Dgaviria,58,528,0,7,14,8:18,17:2,8.8,21,96.0,185.0,62.0,26.0
Juvargas,56,446,14,10,14,8:0,18:9,7.43,38,91.0,156.0,52.0,22.0
Lsora,0,715,0,3,14,9:17,17:1,11.92,17,98.0,250.0,83.0,36.0
Mcarmona,0,511,0,13,14,8:34,17:0,8.52,27,95.0,179.0,60.0,26.0
Ydomico,0,416,59,12,14,9:15,17:1,6.93,85,80.0,146.0,49.0,21.0
clquiroga,60,410,16,5,24,6:59,15:30,6.83,45,89.0,143.0,48.0,20.0
gsantana,53,617,29,10,6,8:7,18:58,10.28,45,93.0,216.0,72.0,31.0
icabrera,0,199,0,0,0,12:17,12:17,3.32,0,100.0,70.0,23.0,10.0
jquintero,33,550,0,0,16,9:15,17:0,9.17,16,97.0,193.0,64.0,28.0
kcalle,62,271,11,0,17,9:30,11:52,4.52,28,90.0,95.0,32.0,14.0
kmortiz,57,445,13,5,35,8:1,16:48,7.42,53,88.0,156.0,52.0,22.0
vaherrera,58,396,14,5,35,7:59,15:32,6.6,54,86.0,139.0,46.0,20.0
yagarcia,59,412,13,6,24,7:33,15:30,6.87,43,90.0,144.0,48.0,21.0
